,Symbol,Date,Open,High,Low,Close,Volume
0,KHC,2017-01-02,87.32,87.32,87.32,87.32,0
1,KHC,2017-01-03,87.85,87.97,86.4,87.53,3104600
2,KHC,2017-01-04,87.52,87.97,86.9,87.03,2274800
3,KHC,2017-01-05,86.9,87.3,86.08,86.53,3037300
4,KHC,2017-01-06,86.53,86.63,85.83,86.31,2450200
5,KHC,2017-01-09,86.25,86.47,85.59,86.07,2482500
6,KHC,2017-01-10,85.85,86.3,85.41,85.91,2539900
7,KHC,2017-01-11,86.12,87.04,86.04,86.76,2754500
8,KHC,2017-01-12,86.83,87.77,86.5,87.42,2484700
9,KHC,2017-01-13,87.42,87.43,86.58,87.03,1799100
10,KHC,2017-01-16,87.03,87.03,87.03,87.03,0
11,KHC,2017-01-17,86.71,87.97,86.71,87.92,2304800
12,KHC,2017-01-18,87.8,88.59,87.8,88.35,2881700
13,KHC,2017-01-19,88.18,88.43,87.55,87.85,1690800
14,KHC,2017-01-20,88.35,89.0,88.01,88.95,2795500
15,KHC,2017-01-23,88.66,88.95,88.2,88.8,2654100
16,KHC,2017-01-24,88.91,89.19,88.32,88.69,2171100
17,KHC,2017-01-25,88.93,89.27,88.41,88.84,2267400
18,KHC,2017-01-26,89.49,89.9,88.71,89.41,3092000
19,KHC,2017-01-27,88.96,89.77,88.78,89.43,1842900
20,KHC,2017-01-30,89.09,89.5,88.63,89.08,2233500
21,KHC,2017-01-31,88.9,89.56,88.83,89.29,2650500
22,KHC,2017-02-01,88.89,89.33,88.31,88.41,1816700
23,KHC,2017-02-02,88.51,89.1,88.32,88.61,1826600
24,KHC,2017-02-03,89.21,89.35,88.64,89.27,2205000
25,KHC,2017-02-06,89.3,89.4,88.64,88.7,1359700
26,KHC,2017-02-07,88.71,89.02,88.5,88.81,2599200
27,KHC,2017-02-08,88.81,89.31,88.79,89.19,3300300
28,KHC,2017-02-09,89.27,90.39,89.04,89.78,2708300
29,KHC,2017-02-10,89.6,90.54,89.34,90.2,1882000
30,KHC,2017-02-13,90.31,90.6,89.69,90.58,1812500
31,KHC,2017-02-14,90.57,91.06,90.1,90.81,2323200
32,KHC,2017-02-15,91.13,91.3,90.26,91.1,3083800
33,KHC,2017-02-16,89.1,89.84,86.35,87.28,10584700
34,KHC,2017-02-17,92.0,97.77,91.85,96.65,30007600
35,KHC,2017-02-20,96.65,96.65,96.65,96.65,0
36,KHC,2017-02-21,91.82,95.48,91.35,94.87,14423200
37,KHC,2017-02-22,94.85,95.0,92.99,93.36,5000100
38,KHC,2017-02-23,93.29,93.62,92.35,92.94,2901100
39,KHC,2017-02-24,93.51,93.8,92.57,93.08,2670400
40,KHC,2017-02-27,92.6,92.87,90.33,90.61,6085600
41,KHC,2017-02-28,90.68,91.98,90.35,91.51,4267700
42,KHC,2017-03-01,91.77,91.91,90.65,91.43,2858600
43,KHC,2017-03-02,91.5,91.69,90.78,91.28,2552700
44,KHC,2017-03-03,91.25,91.5,90.81,91.5,1653000
45,KHC,2017-03-06,91.02,91.51,90.79,91.16,2044900
46,KHC,2017-03-07,90.81,91.44,90.72,90.8,1490900
47,KHC,2017-03-08,90.67,91.17,90.44,90.9,2034700
48,KHC,2017-03-09,90.77,91.58,90.62,91.53,2108500
49,KHC,2017-03-10,92.08,92.09,91.26,91.51,2277100
50,KHC,2017-03-13,91.37,91.5,91.02,91.18,2182900
51,KHC,2017-03-14,91.16,91.35,90.67,91.06,2097300
52,KHC,2017-03-15,91.59,92.14,91.09,91.84,2076200
53,KHC,2017-03-16,92.74,93.27,92.16,92.77,4139000
54,KHC,2017-03-17,93.6,93.67,91.82,91.98,5655900
55,KHC,2017-03-20,92.03,92.95,91.89,92.36,2062900
56,KHC,2017-03-21,92.31,92.78,91.59,91.9,2373300
57,KHC,2017-03-22,92.25,92.75,92.04,92.29,1540300
58,KHC,2017-03-23,92.05,92.78,91.9,92.01,1833300
