,Symbol,Date,Open,High,Low,Close,Volume
0,PLUG,2021-01-05,30.79,33.09,30.4,32.55,18544000
1,PLUG,2021-01-06,34.37,36.86,33.72,35.0,45988500
2,PLUG,2021-01-07,43.6,47.31,43.16,47.29,98454300
3,PLUG,2021-01-08,51.98,55.98,49.2,53.775,100750500
4,PLUG,2021-01-11,48.86,54.35,47.62,53.97,46207500
5,PLUG,2021-01-12,62.4,66.07,60.83,66.02,109979100
6,PLUG,2021-01-13,70.3,73.9,64.13,69.5,153092700
7,PLUG,2021-01-14,66.22,68.55,63.76,66.54,89190000
8,PLUG,2021-01-15,63.15,65.0,57.32,60.14,80671000
9,PLUG,2021-01-19,63.63,68.45,62.23,66.47,62950400
10,PLUG,2021-01-20,65.81,65.85,60.28,62.5,64225700
11,PLUG,2021-01-21,60.05,65.33,58.73,63.69,55628800
12,PLUG,2021-01-22,62.3,67.02,61.96,66.87,40373200
13,PLUG,2021-01-25,66.47,70.58,63.15,65.72,35456300
14,PLUG,2021-01-26,67.64,75.49,66.0,73.18,70505800
15,PLUG,2021-01-27,64.05,69.51,62.95,64.42,72899600
16,PLUG,2021-01-28,65.6,68.0,62.99,65.28,41421800
17,PLUG,2021-01-29,65.85,67.15,62.36,63.17,28697900
18,PLUG,2021-02-01,64.29,65.7,60.77,63.85,18998100
19,PLUG,2021-02-02,64.09,64.93,61.03,64.25,24263800
20,PLUG,2021-02-03,65.91,68.68,63.15,67.38,28031800
21,PLUG,2021-02-04,68.25,70.51,67.26,67.67,21212900
22,PLUG,2021-02-05,69.0,69.1,65.48,65.77,18115500
23,PLUG,2021-02-08,66.11,67.2,64.66,66.19,15911000
24,PLUG,2021-02-09,65.57,69.88,65.55,67.48,23348900
25,PLUG,2021-02-10,68.97,69.0,62.4,64.33,27202900
26,PLUG,2021-02-11,65.0,65.59,62.9,63.99,13882800
27,PLUG,2021-02-12,63.16,64.13,61.59,63.19,12315000
28,PLUG,2021-02-16,65.01,65.01,55.93,59.0,32127900
29,PLUG,2021-02-17,57.0,58.8,55.1,56.23,21743900
30,PLUG,2021-02-18,51.88,54.48,50.06,50.23,34222100
31,PLUG,2021-02-19,53.19,57.78,52.6,55.89,34704900
32,PLUG,2021-02-22,54.21,54.45,48.01,48.6,34789700
33,PLUG,2021-02-23,44.82,47.14,37.22,46.58,48765700
34,PLUG,2021-02-24,48.11,50.25,46.26,50.16,29973100
